AMD		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
02/01/1973 16:00:00	0.42	0.42	0.42	0.42	0
03/01/1973 16:00:00	0.42	0.42	0.42	0.42	0
04/01/1973 16:00:00	0.42	0.42	0.42	0.42	0
05/01/1973 16:00:00	0.42	0.42	0.42	0.42	0
08/01/1973 16:00:00	0.5	0.5	0.5	0.5	0
09/01/1973 16:00:00	0.55	0.55	0.55	0.55	0
10/01/1973 16:00:00	0.53	0.53	0.53	0.53	0
11/01/1973 16:00:00	0.58	0.58	0.58	0.58	0
12/01/1973 16:00:00	0.58	0.58	0.58	0.58	0
15/01/1973 16:00:00	0.56	0.56	0.56	0.56	0
16/01/1973 16:00:00	0.56	0.56	0.56	0.56	0
17/01/1973 16:00:00	0.58	0.58	0.58	0.58	0
18/01/1973 16:00:00	0.58	0.58	0.58	0.58	0
19/01/1973 16:00:00	0.56	0.56	0.56	0.56	0
22/01/1973 16:00:00	0.51	0.51	0.51	0.51	0
23/01/1973 16:00:00	0.51	0.51	0.51	0.51	0
24/01/1973 16:00:00	0.51	0.51	0.51	0.51	0
26/01/1973 16:00:00	0.51	0.51	0.51	0.51	0
29/01/1973 16:00:00	0.53	0.53	0.53	0.53	0
30/01/1973 16:00:00	0.55	0.55	0.55	0.55	0
31/01/1973 16:00:00	0.58	0.58	0.58	0.58	0
01/02/1973 16:00:00	0.58	0.58	0.58	0.58	0
02/02/1973 16:00:00	0.56	0.56	0.56	0.56	0
05/02/1973 16:00:00	0.56	0.56	0.56	0.56	0
06/02/1973 16:00:00	0.56	0.56	0.56	0.56	0
07/02/1973 16:00:00	0.56	0.56	0.56	0.56	0
08/02/1973 16:00:00	0.55	0.55	0.55	0.55	0
09/02/1973 16:00:00	0.55	0.55	0.55	0.55	0
12/02/1973 16:00:00	0.56	0.56	0.56	0.56	0
13/02/1973 16:00:00	0.53	0.53	0.53	0.53	0
14/02/1973 16:00:00	0.53	0.53	0.53	0.53	0
15/02/1973 16:00:00	0.51	0.51	0.51	0.51	0
16/02/1973 16:00:00	0.5	0.5	0.5	0.5	0
19/02/1973 16:00:00	0.5	0.5	0.5	0.5	0
20/02/1973 16:00:00	0.5	0.5	0.5	0.5	0
21/02/1973 16:00:00	0.5	0.5	0.5	0.5	1100
22/02/1973 16:00:00	0.48	0.48	0.48	0.48	1100
23/02/1973 16:00:00	0.48	0.48	0.48	0.48	800
26/02/1973 16:00:00	0.44	0.44	0.44	0.44	1400
27/02/1973 16:00:00	0.44	0.44	0.44	0.44	11300
28/02/1973 16:00:00	0.45	0.45	0.45	0.45	4500
01/03/1973 16:00:00	0.45	0.45	0.45	0.45	5800
02/03/1973 16:00:00	0.44	0.44	0.44	0.44	900
05/03/1973 16:00:00	0.44	0.44	0.44	0.44	400
06/03/1973 16:00:00	0.44	0.44	0.44	0.44	4300
07/03/1973 16:00:00	0.44	0.44	0.44	0.44	1100
08/03/1973 16:00:00	0.44	0.44	0.44	0.44	1600
09/03/1973 16:00:00	0.44	0.44	0.44	0.44	600
12/03/1973 16:00:00	0.44	0.44	0.44	0.44	100
13/03/1973 16:00:00	0.41	0.41	0.41	0.41	6500
14/03/1973 16:00:00	0.41	0.41	0.41	0.41	7900
15/03/1973 16:00:00	0.39	0.39	0.39	0.39	900
16/03/1973 16:00:00	0.39	0.39	0.39	0.39	1500
19/03/1973 16:00:00	0.39	0.39	0.39	0.39	6100
20/03/1973 16:00:00	0.37	0.37	0.37	0.37	1100
21/03/1973 16:00:00	0.36	0.36	0.36	0.36	1600
22/03/1973 16:00:00	0.36	0.36	0.36	0.36	2500
23/03/1973 16:00:00	0.39	0.39	0.39	0.39	8600
26/03/1973 16:00:00	0.39	0.39	0.39	0.39	1000
27/03/1973 16:00:00	0.39	0.39	0.39	0.39	400
28/03/1973 16:00:00	0.39	0.39	0.39	0.39	900
29/03/1973 16:00:00	0.37	0.37	0.37	0.37	6000
30/03/1973 16:00:00	0.36	0.36	0.36	0.36	700
03/04/1973 16:00:00	0.36	0.36	0.36	0.36	700
04/04/1973 16:00:00	0.36	0.36	0.36	0.36	1200
05/04/1973 16:00:00	0.36	0.36	0.36	0.36	200
06/04/1973 16:00:00	0.36	0.36	0.36	0.36	200
09/04/1973 16:00:00	0.36	0.36	0.36	0.36	600
10/04/1973 16:00:00	0.36	0.36	0.36	0.36	1700
11/04/1973 16:00:00	0.36	0.36	0.36	0.36	600
12/04/1973 16:00:00	0.36	0.36	0.36	0.36	2100
16/04/1973 16:00:00	0.34	0.34	0.34	0.34	600
17/04/1973 16:00:00	0.34	0.34	0.34	0.34	300
18/04/1973 16:00:00	0.34	0.34	0.34	0.34	100
19/04/1973 16:00:00	0.36	0.36	0.36	0.36	1200
23/04/1973 16:00:00	0.34	0.34	0.34	0.34	500
24/04/1973 16:00:00	0.34	0.34	0.34	0.34	100
25/04/1973 16:00:00	0.34	0.34	0.34	0.34	1100
26/04/1973 16:00:00	0.33	0.33	0.33	0.33	300
27/04/1973 16:00:00	0.33	0.33	0.33	0.33	500
30/04/1973 16:00:00	0.33	0.33	0.33	0.33	600
01/05/1973 16:00:00	0.33	0.33	0.33	0.33	800
02/05/1973 16:00:00	0.33	0.33	0.33	0.33	4700
03/05/1973 16:00:00	0.33	0.34	0.33	0.33	1800
04/05/1973 16:00:00	0.31	0.33	0.31	0.31	4800
07/05/1973 16:00:00	0.31	0.33	0.31	0.31	1800
08/05/1973 16:00:00	0.31	0.33	0.31	0.31	1600
09/05/1973 16:00:00	0.33	0.36	0.33	0.33	4400
10/05/1973 16:00:00	0.34	0.37	0.34	0.34	2400
11/05/1973 16:00:00	0.34	0.37	0.34	0.34	200
14/05/1973 16:00:00	0.34	0.37	0.34	0.34	300
15/05/1973 16:00:00	0.33	0.36	0.33	0.33	3300
16/05/1973 16:00:00	0.33	0.36	0.33	0.33	1800
17/05/1973 16:00:00	0.33	0.36	0.33	0.33	500
18/05/1973 16:00:00	0.33	0.34	0.33	0.33	1800
21/05/1973 16:00:00	0.31	0.33	0.31	0.31	5100
22/05/1973 16:00:00	0.3	0.33	0.3	0.3	900
23/05/1973 16:00:00	0.3	0.31	0.3	0.3	900
24/05/1973 16:00:00	0.28	0.31	0.28	0.28	300
25/05/1973 16:00:00	0.28	0.31	0.28	0.28	1600
29/05/1973 16:00:00	0.28	0.31	0.28	0.28	500
30/05/1973 16:00:00	0.27	0.28	0.27	0.27	1000
31/05/1973 16:00:00	0.27	0.28	0.27	0.27	1600
01/06/1973 16:00:00	0.23	0.25	0.23	0.23	2700
04/06/1973 16:00:00	0.23	0.25	0.23	0.23	1000
05/06/1973 16:00:00	0.23	0.25	0.23	0.23	1700
06/06/1973 16:00:00	0.22	0.23	0.22	0.22	1800
07/06/1973 16:00:00	0.22	0.23	0.22	0.22	1000
08/06/1973 16:00:00	0.25	0.27	0.25	0.25	7300
11/06/1973 16:00:00	0.28	0.31	0.28	0.28	3300
12/06/1973 16:00:00	0.31	0.33	0.31	0.31	1500
13/06/1973 16:00:00	0.28	0.31	0.28	0.28	2200
14/06/1973 16:00:00	0.28	0.31	0.28	0.28	1500
15/06/1973 16:00:00	0.28	0.31	0.28	0.28	2500
18/06/1973 16:00:00	0.3	0.31	0.3	0.3	2000
19/06/1973 16:00:00	0.3	0.33	0.3	0.3	900
20/06/1973 16:00:00	0.31	0.33	0.31	0.31	1000
21/06/1973 16:00:00	0.31	0.33	0.31	0.31	2400
22/06/1973 16:00:00	0.31	0.33	0.31	0.31	1900
25/06/1973 16:00:00	0.31	0.33	0.31	0.31	500
26/06/1973 16:00:00	0.3	0.31	0.3	0.3	400
27/06/1973 16:00:00	0.3	0.31	0.3	0.3	400
28/06/1973 16:00:00	0.31	0.33	0.31	0.31	4400
29/06/1973 16:00:00	0.31	0.33	0.31	0.31	300
02/07/1973 16:00:00	0.3	0.31	0.3	0.3	1800
03/07/1973 16:00:00	0.3	0.31	0.3	0.3	100
05/07/1973 16:00:00	0.28	0.31	0.28	0.28	700
06/07/1973 16:00:00	0.28	0.3	0.28	0.28	800
09/07/1973 16:00:00	0.28	0.3	0.28	0.28	1100
10/07/1973 16:00:00	0.28	0.3	0.28	0.28	200
11/07/1973 16:00:00	0.25	0.28	0.25	0.25	2100
12/07/1973 16:00:00	0.28	0.31	0.28	0.28	5100
13/07/1973 16:00:00	0.3	0.31	0.3	0.3	800
16/07/1973 16:00:00	0.3	0.31	0.3	0.3	700
17/07/1973 16:00:00	0.3	0.31	0.3	0.3	400
18/07/1973 16:00:00	0.31	0.33	0.31	0.31	1700
19/07/1973 16:00:00	0.36	0.37	0.36	0.36	2400
20/07/1973 16:00:00	0.36	0.37	0.36	0.36	3100
23/07/1973 16:00:00	0.37	0.39	0.37	0.37	2500
24/07/1973 16:00:00	0.37	0.41	0.37	0.37	1300
25/07/1973 16:00:00	0.44	0.45	0.44	0.44	3600
26/07/1973 16:00:00	0.45	0.47	0.45	0.45	6000
27/07/1973 16:00:00	0.45	0.47	0.45	0.45	3500
30/07/1973 16:00:00	0.45	0.47	0.45	0.45	300
31/07/1973 16:00:00	0.45	0.47	0.45	0.45	3300
01/08/1973 16:00:00	0.45	0.47	0.45	0.45	1900
02/08/1973 16:00:00	0.47	0.48	0.47	0.47	7000
03/08/1973 16:00:00	0.51	0.53	0.51	0.51	8000
06/08/1973 16:00:00	0.53	0.55	0.53	0.53	2000
07/08/1973 16:00:00	0.53	0.55	0.53	0.53	3200
08/08/1973 16:00:00	0.53	0.55	0.53	0.53	2700
09/08/1973 16:00:00	0.56	0.58	0.56	0.56	3200
10/08/1973 16:00:00	0.55	0.58	0.55	0.55	4700
13/08/1973 16:00:00	0.53	0.55	0.53	0.53	7700
14/08/1973 16:00:00	0.48	0.5	0.48	0.48	4000
15/08/1973 16:00:00	0.47	0.5	0.47	0.47	2300
16/08/1973 16:00:00	0.47	0.5	0.47	0.47	1300
17/08/1973 16:00:00	0.48	0.5	0.48	0.48	500
20/08/1973 16:00:00	0.48	0.5	0.48	0.48	300
21/08/1973 16:00:00	0.48	0.5	0.48	0.48	2400
22/08/1973 16:00:00	0.47	0.5	0.47	0.47	900
23/08/1973 16:00:00	0.48	0.5	0.48	0.48	1800
24/08/1973 16:00:00	0.5	0.51	0.5	0.5	3400
27/08/1973 16:00:00	0.5	0.51	0.5	0.5	500
28/08/1973 16:00:00	0.5	0.51	0.5	0.5	700
29/08/1973 16:00:00	0.53	0.56	0.53	0.53	4700
30/08/1973 16:00:00	0.55	0.56	0.55	0.55	3200
31/08/1973 16:00:00	0.55	0.56	0.55	0.55	1600
04/09/1973 16:00:00	0.56	0.58	0.56	0.56	2500
05/09/1973 16:00:00	0.56	0.58	0.56	0.56	2700
06/09/1973 16:00:00	0.58	0.59	0.58	0.58	4100
07/09/1973 16:00:00	0.66	0.67	0.66	0.66	11800
10/09/1973 16:00:00	0.64	0.66	0.64	0.64	12800
11/09/1973 16:00:00	0.64	0.66	0.64	0.64	9300
12/09/1973 16:00:00	0.72	0.73	0.72	0.72	8700
13/09/1973 16:00:00	0.73	0.75	0.73	0.73	29400
14/09/1973 16:00:00	0.8	0.81	0.8	0.8	26800
17/09/1973 16:00:00	0.76	0.78	0.76	0.76	15500
18/09/1973 16:00:00	0.76	0.78	0.76	0.76	8000
19/09/1973 16:00:00	0.83	0.86	0.83	0.83	25100
20/09/1973 16:00:00	0.8	0.81	0.8	0.8	14200
21/09/1973 16:00:00	0.8	0.81	0.8	0.8	9200
24/09/1973 16:00:00	0.8	0.81	0.8	0.8	4500
25/09/1973 16:00:00	0.75	0.76	0.75	0.75	9900
26/09/1973 16:00:00	0.75	0.78	0.75	0.75	5200
27/09/1973 16:00:00	0.75	0.76	0.75	0.75	10500
28/09/1973 16:00:00	0.72	0.75	0.72	0.72	9200
01/10/1973 16:00:00	0.7	0.72	0.7	0.7	7300
02/10/1973 16:00:00	0.87	0.89	0.87	0.87	30800
03/10/1973 16:00:00	0.83	0.86	0.83	0.83	25500
