AMZN		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
15/05/1997 16:00:00	0.1	0.12	0.1	0.1	6006000
16/05/1997 16:00:00	0.1	0.1	0.09	0.09	1223800
19/05/1997 16:00:00	0.09	0.09	0.08	0.09	508900
20/05/1997 16:00:00	0.09	0.09	0.08	0.08	455600
21/05/1997 16:00:00	0.08	0.08	0.07	0.07	1571100
22/05/1997 16:00:00	0.07	0.07	0.07	0.07	981400
23/05/1997 16:00:00	0.07	0.08	0.07	0.07	1328100
27/05/1997 16:00:00	0.08	0.08	0.07	0.08	724800
28/05/1997 16:00:00	0.08	0.08	0.08	0.08	381200
29/05/1997 16:00:00	0.08	0.08	0.07	0.08	289400
30/05/1997 16:00:00	0.08	0.08	0.07	0.07	216200
02/06/1997 16:00:00	0.08	0.08	0.07	0.08	49300
03/06/1997 16:00:00	0.08	0.08	0.07	0.07	98600
04/06/1997 16:00:00	0.07	0.07	0.07	0.07	256700
05/06/1997 16:00:00	0.07	0.08	0.07	0.08	472700
09/06/1997 16:00:00	0.08	0.09	0.08	0.08	196000
10/06/1997 16:00:00	0.09	0.09	0.08	0.08	454900
11/06/1997 16:00:00	0.09	0.09	0.08	0.08	99000
12/06/1997 16:00:00	0.08	0.08	0.08	0.08	136000
13/06/1997 16:00:00	0.08	0.08	0.08	0.08	57800
16/06/1997 16:00:00	0.08	0.08	0.08	0.08	76100
17/06/1997 16:00:00	0.08	0.08	0.07	0.08	392200
18/06/1997 16:00:00	0.08	0.08	0.07	0.08	205400
19/06/1997 16:00:00	0.08	0.08	0.07	0.08	82900
20/06/1997 16:00:00	0.08	0.08	0.07	0.08	282300
23/06/1997 16:00:00	0.08	0.08	0.07	0.07	87300
24/06/1997 16:00:00	0.07	0.08	0.07	0.08	62600
25/06/1997 16:00:00	0.08	0.08	0.07	0.08	175500
26/06/1997 16:00:00	0.08	0.08	0.08	0.08	265800
27/06/1997 16:00:00	0.08	0.08	0.07	0.07	99000
30/06/1997 16:00:00	0.08	0.08	0.07	0.08	228900
01/07/1997 16:00:00	0.08	0.08	0.08	0.08	107700
02/07/1997 16:00:00	0.08	0.08	0.08	0.08	323500
03/07/1997 16:00:00	0.08	0.1	0.08	0.1	1048101
07/07/1997 16:00:00	0.09	0.1	0.09	0.1	671100
08/07/1997 16:00:00	0.1	0.12	0.1	0.12	1293101
09/07/1997 16:00:00	0.12	0.12	0.11	0.12	688500
10/07/1997 16:00:00	0.12	0.13	0.12	0.13	754300
11/07/1997 16:00:00	0.13	0.13	0.11	0.11	847300
14/07/1997 16:00:00	0.12	0.12	0.11	0.11	383700
15/07/1997 16:00:00	0.12	0.12	0.11	0.11	383700
16/07/1997 16:00:00	0.12	0.12	0.12	0.12	240500
17/07/1997 16:00:00	0.12	0.12	0.11	0.11	264100
18/07/1997 16:00:00	0.11	0.11	0.11	0.11	65000
21/07/1997 16:00:00	0.11	0.11	0.11	0.11	47900
22/07/1997 16:00:00	0.11	0.11	0.1	0.11	130300
23/07/1997 16:00:00	0.11	0.12	0.11	0.11	271600
24/07/1997 16:00:00	0.11	0.12	0.11	0.11	101400
25/07/1997 16:00:00	0.11	0.11	0.11	0.11	51700
28/07/1997 16:00:00	0.11	0.12	0.11	0.12	169300
29/07/1997 16:00:00	0.12	0.12	0.12	0.12	401200
30/07/1997 16:00:00	0.12	0.13	0.12	0.12	209800
31/07/1997 16:00:00	0.12	0.12	0.12	0.12	121200
01/08/1997 16:00:00	0.12	0.12	0.11	0.12	299000
04/08/1997 16:00:00	0.12	0.12	0.12	0.12	222600
05/08/1997 16:00:00	0.12	0.12	0.11	0.11	252700
06/08/1997 16:00:00	0.11	0.12	0.11	0.11	103600
07/08/1997 16:00:00	0.11	0.11	0.11	0.11	169400
08/08/1997 16:00:00	0.11	0.12	0.11	0.11	184300
11/08/1997 16:00:00	0.11	0.12	0.11	0.12	103300
12/08/1997 16:00:00	0.11	0.12	0.11	0.11	47600
13/08/1997 16:00:00	0.11	0.11	0.11	0.11	49200
14/08/1997 16:00:00	0.11	0.11	0.11	0.11	86800
15/08/1997 16:00:00	0.11	0.11	0.1	0.11	133100
18/08/1997 16:00:00	0.11	0.11	0.1	0.1	148700
19/08/1997 16:00:00	0.1	0.11	0.1	0.11	83600
20/08/1997 16:00:00	0.11	0.11	0.1	0.11	82900
21/08/1997 16:00:00	0.11	0.11	0.1	0.11	61900
22/08/1997 16:00:00	0.11	0.11	0.1	0.11	59400
25/08/1997 16:00:00	0.11	0.11	0.11	0.11	93900
26/08/1997 16:00:00	0.11	0.12	0.11	0.12	217500
27/08/1997 16:00:00	0.12	0.12	0.11	0.12	116000
28/08/1997 16:00:00	0.12	0.12	0.11	0.12	95600
29/08/1997 16:00:00	0.12	0.12	0.12	0.12	60200
02/09/1997 16:00:00	0.12	0.12	0.12	0.12	61000
03/09/1997 16:00:00	0.12	0.12	0.12	0.12	163700
04/09/1997 16:00:00	0.12	0.13	0.12	0.13	279000
05/09/1997 16:00:00	0.13	0.13	0.12	0.12	159000
08/09/1997 16:00:00	0.13	0.15	0.12	0.15	470700
09/09/1997 16:00:00	0.15	0.17	0.15	0.16	747600
10/09/1997 16:00:00	0.16	0.17	0.16	0.17	322200
11/09/1997 16:00:00	0.17	0.17	0.15	0.16	355200
12/09/1997 16:00:00	0.16	0.18	0.16	0.18	277800
15/09/1997 16:00:00	0.18	0.18	0.15	0.15	464900
16/09/1997 16:00:00	0.17	0.18	0.16	0.17	536000
17/09/1997 16:00:00	0.17	0.17	0.17	0.17	217300
18/09/1997 16:00:00	0.17	0.17	0.16	0.16	177400
19/09/1997 16:00:00	0.17	0.2	0.17	0.2	744100
22/09/1997 16:00:00	0.2	0.23	0.2	0.22	1411801
23/09/1997 16:00:00	0.22	0.23	0.22	0.23	640300
24/09/1997 16:00:00	0.23	0.24	0.21	0.22	683400
25/09/1997 16:00:00	0.22	0.22	0.2	0.2	414000
26/09/1997 16:00:00	0.2	0.21	0.2	0.21	227600
29/09/1997 16:00:00	0.21	0.21	0.2	0.2	197600
30/09/1997 16:00:00	0.2	0.22	0.19	0.22	437900
01/10/1997 16:00:00	0.22	0.22	0.2	0.2	416600
02/10/1997 16:00:00	0.2	0.21	0.2	0.2	156400
03/10/1997 16:00:00	0.2	0.21	0.2	0.2	97000
06/10/1997 16:00:00	0.2	0.21	0.2	0.21	169000
07/10/1997 16:00:00	0.2	0.21	0.2	0.2	145200
08/10/1997 16:00:00	0.21	0.21	0.2	0.2	233900
09/10/1997 16:00:00	0.2	0.2	0.19	0.19	329200
10/10/1997 16:00:00	0.19	0.2	0.18	0.2	315600
13/10/1997 16:00:00	0.2	0.2	0.2	0.2	67900
14/10/1997 16:00:00	0.2	0.21	0.19	0.2	128900
15/10/1997 16:00:00	0.2	0.2	0.19	0.2	196300
16/10/1997 16:00:00	0.2	0.2	0.18	0.18	290100
17/10/1997 16:00:00	0.18	0.18	0.18	0.18	211200
20/10/1997 16:00:00	0.18	0.19	0.18	0.19	409400
21/10/1997 16:00:00	0.19	0.22	0.19	0.22	1008001
22/10/1997 16:00:00	0.22	0.23	0.22	0.23	434000
23/10/1997 16:00:00	0.22	0.23	0.21	0.22	471400
24/10/1997 16:00:00	0.24	0.25	0.23	0.25	791000
27/10/1997 16:00:00	0.24	0.25	0.21	0.21	507600
28/10/1997 16:00:00	0.2	0.25	0.19	0.24	849100
29/10/1997 16:00:00	0.25	0.27	0.25	0.27	593900
