CSCO		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
16/02/1990 16:00:00	0.08	0.08	0.07	0.08	6532200
20/02/1990 16:00:00	0.08	0.08	0.07	0.08	1054600
21/02/1990 16:00:00	0.08	0.08	0.08	0.08	489800
22/02/1990 16:00:00	0.08	0.08	0.08	0.08	314000
23/02/1990 16:00:00	0.08	0.08	0.08	0.08	310400
26/02/1990 16:00:00	0.08	0.08	0.08	0.08	187000
27/02/1990 16:00:00	0.08	0.08	0.08	0.08	177600
28/02/1990 16:00:00	0.08	0.08	0.08	0.08	472000
01/03/1990 16:00:00	0.08	0.08	0.08	0.08	197400
02/03/1990 16:00:00	0.08	0.08	0.08	0.08	58600
05/03/1990 16:00:00	0.08	0.08	0.08	0.08	16800
06/03/1990 16:00:00	0.08	0.08	0.08	0.08	166000
07/03/1990 16:00:00	0.08	0.08	0.08	0.08	126200
08/03/1990 16:00:00	0.08	0.08	0.08	0.08	232800
09/03/1990 16:00:00	0.08	0.08	0.08	0.08	77400
12/03/1990 16:00:00	0.08	0.08	0.08	0.08	141000
13/03/1990 16:00:00	0.08	0.08	0.08	0.08	368200
14/03/1990 16:00:00	0.09	0.09	0.08	0.09	606600
15/03/1990 16:00:00	0.09	0.09	0.09	0.09	268200
16/03/1990 16:00:00	0.09	0.09	0.09	0.09	138400
19/03/1990 16:00:00	0.09	0.09	0.09	0.09	149400
20/03/1990 16:00:00	0.08	0.09	0.08	0.08	150100
21/03/1990 16:00:00	0.08	0.09	0.08	0.08	69100
22/03/1990 16:00:00	0.08	0.09	0.08	0.08	152000
23/03/1990 16:00:00	0.08	0.08	0.08	0.08	58700
26/03/1990 16:00:00	0.08	0.08	0.08	0.08	144800
27/03/1990 16:00:00	0.09	0.09	0.08	0.09	55300
28/03/1990 16:00:00	0.09	0.09	0.09	0.09	34000
29/03/1990 16:00:00	0.09	0.09	0.08	0.09	56500
30/03/1990 16:00:00	0.08	0.08	0.08	0.08	99800
02/04/1990 16:00:00	0.08	0.08	0.08	0.08	55100
03/04/1990 16:00:00	0.08	0.08	0.08	0.08	29000
