INTC		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
28/06/1972 16:00:00	0.03	0.03	0.03	0.03	0
29/06/1972 16:00:00	0.03	0.03	0.03	0.03	0
30/06/1972 16:00:00	0.03	0.03	0.03	0.03	0
03/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
04/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
05/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
06/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
07/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
10/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
11/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
12/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
13/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
14/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
17/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
18/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
19/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
20/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
21/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
24/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
25/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
26/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
27/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
28/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
31/07/1972 16:00:00	0.03	0.03	0.03	0.03	0
01/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
02/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
03/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
04/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
07/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
08/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
09/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
10/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
11/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
14/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
15/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
16/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
17/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
18/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
21/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
22/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
23/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
24/08/1972 16:00:00	0.03	0.03	0.03	0.03	0
25/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
28/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
29/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
30/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
31/08/1972 16:00:00	0.04	0.04	0.04	0.04	0
01/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
04/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
05/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
06/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
07/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
08/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
11/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
12/09/1972 16:00:00	0.03	0.03	0.03	0.03	0
13/09/1972 16:00:00	0.04	0.04	0.04	0.04	0
