MSFT		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
13/03/1986 16:00:00	0.1	0.1	0.09	0.1	3582600
14/03/1986 16:00:00	0.1	0.1	0.1	0.1	1070000
17/03/1986 16:00:00	0.1	0.1	0.1	0.1	462400
18/03/1986 16:00:00	0.1	0.1	0.1	0.1	230800
19/03/1986 16:00:00	0.1	0.1	0.1	0.1	166300
20/03/1986 16:00:00	0.1	0.1	0.09	0.1	202900
21/03/1986 16:00:00	0.09	0.1	0.09	0.09	208300
24/03/1986 16:00:00	0.09	0.09	0.09	0.09	226700
25/03/1986 16:00:00	0.09	0.09	0.09	0.09	111400
26/03/1986 16:00:00	0.09	0.1	0.09	0.09	79000
27/03/1986 16:00:00	0.1	0.1	0.09	0.1	58500
31/03/1986 16:00:00	0.1	0.1	0.09	0.1	44700
01/04/1986 16:00:00	0.09	0.1	0.09	0.09	38500
02/04/1986 16:00:00	0.1	0.1	0.09	0.1	93800
03/04/1986 16:00:00	0.1	0.1	0.1	0.1	80000
04/04/1986 16:00:00	0.1	0.1	0.1	0.1	92300
07/04/1986 16:00:00	0.09	0.1	0.09	0.09	57500
08/04/1986 16:00:00	0.1	0.1	0.09	0.1	35600
09/04/1986 16:00:00	0.1	0.1	0.1	0.1	42200
10/04/1986 16:00:00	0.1	0.1	0.1	0.1	48200
11/04/1986 16:00:00	0.1	0.1	0.1	0.1	59800
14/04/1986 16:00:00	0.1	0.1	0.1	0.1	42200
15/04/1986 16:00:00	0.1	0.1	0.1	0.1	32300
16/04/1986 16:00:00	0.1	0.11	0.1	0.1	110800
17/04/1986 16:00:00	0.11	0.11	0.1	0.11	76400
18/04/1986 16:00:00	0.1	0.11	0.1	0.1	75100
21/04/1986 16:00:00	0.1	0.1	0.1	0.1	79600
22/04/1986 16:00:00	0.1	0.1	0.1	0.1	54000
23/04/1986 16:00:00	0.1	0.1	0.1	0.1	54200
24/04/1986 16:00:00	0.11	0.11	0.1	0.11	216100
25/04/1986 16:00:00	0.12	0.12	0.11	0.12	296700
28/04/1986 16:00:00	0.12	0.12	0.12	0.12	100300
29/04/1986 16:00:00	0.11	0.12	0.11	0.11	105300
30/04/1986 16:00:00	0.11	0.12	0.11	0.11	104300
01/05/1986 16:00:00	0.11	0.11	0.11	0.11	188700
02/05/1986 16:00:00	0.11	0.11	0.11	0.11	70300
05/05/1986 16:00:00	0.11	0.11	0.11	0.11	11300
06/05/1986 16:00:00	0.11	0.11	0.11	0.11	33800
07/05/1986 16:00:00	0.11	0.11	0.11	0.11	17900
08/05/1986 16:00:00	0.11	0.11	0.11	0.11	12300
09/05/1986 16:00:00	0.11	0.11	0.11	0.11	21100
12/05/1986 16:00:00	0.11	0.11	0.11	0.11	36400
13/05/1986 16:00:00	0.11	0.11	0.11	0.11	13300
14/05/1986 16:00:00	0.11	0.11	0.11	0.11	32300
15/05/1986 16:00:00	0.11	0.11	0.11	0.11	13200
16/05/1986 16:00:00	0.11	0.11	0.11	0.11	41500
19/05/1986 16:00:00	0.11	0.11	0.11	0.11	38200
20/05/1986 16:00:00	0.11	0.11	0.11	0.11	15200
21/05/1986 16:00:00	0.11	0.11	0.11	0.11	28100
22/05/1986 16:00:00	0.11	0.11	0.11	0.11	15300
23/05/1986 16:00:00	0.11	0.11	0.11	0.11	14200
27/05/1986 16:00:00	0.11	0.11	0.11	0.11	48200
28/05/1986 16:00:00	0.11	0.11	0.11	0.11	53900
29/05/1986 16:00:00	0.12	0.12	0.11	0.12	158600
30/05/1986 16:00:00	0.12	0.12	0.12	0.12	114000
02/06/1986 16:00:00	0.12	0.12	0.12	0.12	68500
03/06/1986 16:00:00	0.12	0.12	0.12	0.12	17400
04/06/1986 16:00:00	0.12	0.12	0.12	0.12	16400
05/06/1986 16:00:00	0.12	0.12	0.12	0.12	47600
06/06/1986 16:00:00	0.12	0.12	0.12	0.12	11900
09/06/1986 16:00:00	0.11	0.12	0.11	0.11	44000
10/06/1986 16:00:00	0.11	0.11	0.11	0.11	11900
11/06/1986 16:00:00	0.11	0.11	0.11	0.11	8000
12/06/1986 16:00:00	0.11	0.11	0.11	0.11	47600
13/06/1986 16:00:00	0.11	0.11	0.11	0.11	27400
16/06/1986 16:00:00	0.11	0.11	0.11	0.11	33300
17/06/1986 16:00:00	0.11	0.11	0.11	0.11	45400
18/06/1986 16:00:00	0.11	0.11	0.11	0.11	15100
19/06/1986 16:00:00	0.11	0.11	0.11	0.11	29400
20/06/1986 16:00:00	0.11	0.11	0.11	0.11	13200
23/06/1986 16:00:00	0.11	0.11	0.11	0.11	160400
24/06/1986 16:00:00	0.11	0.11	0.11	0.11	50600
25/06/1986 16:00:00	0.11	0.11	0.11	0.11	52900
26/06/1986 16:00:00	0.1	0.11	0.1	0.1	66500
27/06/1986 16:00:00	0.1	0.11	0.1	0.1	36100
30/06/1986 16:00:00	0.11	0.11	0.1	0.11	216500
01/07/1986 16:00:00	0.11	0.11	0.11	0.11	165200
02/07/1986 16:00:00	0.11	0.11	0.11	0.11	182700
03/07/1986 16:00:00	0.11	0.11	0.11	0.11	49100
07/07/1986 16:00:00	0.1	0.11	0.1	0.1	48800
08/07/1986 16:00:00	0.1	0.1	0.1	0.1	49500
09/07/1986 16:00:00	0.1	0.1	0.1	0.1	160200
10/07/1986 16:00:00	0.09	0.1	0.09	0.09	162800
11/07/1986 16:00:00	0.1	0.1	0.09	0.1	60400
14/07/1986 16:00:00	0.1	0.1	0.09	0.1	99300
15/07/1986 16:00:00	0.1	0.1	0.09	0.1	45800
16/07/1986 16:00:00	0.1	0.1	0.1	0.1	32500
17/07/1986 16:00:00	0.1	0.1	0.1	0.1	24100
18/07/1986 16:00:00	0.1	0.1	0.1	0.1	42800
21/07/1986 16:00:00	0.1	0.11	0.1	0.1	12200
22/07/1986 16:00:00	0.11	0.11	0.1	0.11	36500
23/07/1986 16:00:00	0.1	0.11	0.1	0.1	72200
24/07/1986 16:00:00	0.11	0.11	0.11	0.11	49100
25/07/1986 16:00:00	0.11	0.11	0.11	0.11	71000
28/07/1986 16:00:00	0.11	0.11	0.11	0.11	41000
29/07/1986 16:00:00	0.1	0.11	0.1	0.1	48800
30/07/1986 16:00:00	0.1	0.1	0.1	0.1	91700
31/07/1986 16:00:00	0.1	0.1	0.1	0.1	54300
01/08/1986 16:00:00	0.1	0.1	0.1	0.1	44800
04/08/1986 16:00:00	0.1	0.1	0.1	0.1	43200
05/08/1986 16:00:00	0.1	0.1	0.1	0.1	9800
06/08/1986 16:00:00	0.1	0.1	0.09	0.1	60600
07/08/1986 16:00:00	0.1	0.1	0.09	0.1	12700
08/08/1986 16:00:00	0.1	0.1	0.1	0.1	14400
11/08/1986 16:00:00	0.1	0.1	0.1	0.1	27600
12/08/1986 16:00:00	0.1	0.1	0.1	0.1	34700
13/08/1986 16:00:00	0.1	0.1	0.1	0.1	23900
14/08/1986 16:00:00	0.11	0.11	0.1	0.11	69900
15/08/1986 16:00:00	0.11	0.11	0.11	0.11	21200
18/08/1986 16:00:00	0.11	0.11	0.11	0.11	44400
19/08/1986 16:00:00	0.11	0.11	0.1	0.11	70800
20/08/1986 16:00:00	0.1	0.11	0.1	0.1	72100
21/08/1986 16:00:00	0.1	0.11	0.1	0.1	172000
22/08/1986 16:00:00	0.1	0.11	0.1	0.1	20000
25/08/1986 16:00:00	0.1	0.1	0.1	0.1	8400
26/08/1986 16:00:00	0.1	0.1	0.1	0.1	37700
27/08/1986 16:00:00	0.1	0.1	0.1	0.1	33100
28/08/1986 16:00:00	0.1	0.1	0.1	0.1	11900
29/08/1986 16:00:00	0.1	0.1	0.1	0.1	88300
02/09/1986 16:00:00	0.1	0.1	0.1	0.1	18100
03/09/1986 16:00:00	0.09	0.1	0.09	0.09	63600
04/09/1986 16:00:00	0.1	0.1	0.1	0.1	136900
05/09/1986 16:00:00	0.11	0.11	0.1	0.11	91500
08/09/1986 16:00:00	0.11	0.11	0.11	0.11	33400
09/09/1986 16:00:00	0.11	0.11	0.11	0.11	130300
10/09/1986 16:00:00	0.11	0.11	0.11	0.11	37800
11/09/1986 16:00:00	0.1	0.11	0.1	0.1	123300
12/09/1986 16:00:00	0.1	0.1	0.1	0.1	84900
15/09/1986 16:00:00	0.1	0.1	0.1	0.1	78100
16/09/1986 16:00:00	0.1	0.1	0.1	0.1	18000
17/09/1986 16:00:00	0.1	0.1	0.1	0.1	26800
18/09/1986 16:00:00	0.1	0.11	0.1	0.1	18600
19/09/1986 16:00:00	0.1	0.1	0.1	0.1	8700
22/09/1986 16:00:00	0.1	0.1	0.1	0.1	15600
23/09/1986 16:00:00	0.1	0.11	0.1	0.1	20700
24/09/1986 16:00:00	0.1	0.1	0.1	0.1	16600
25/09/1986 16:00:00	0.1	0.1	0.1	0.1	17900
26/09/1986 16:00:00	0.1	0.1	0.1	0.1	8100
29/09/1986 16:00:00	0.1	0.1	0.1	0.1	21500
30/09/1986 16:00:00	0.1	0.1	0.1	0.1	18000
01/10/1986 16:00:00	0.1	0.1	0.1	0.1	112600
02/10/1986 16:00:00	0.1	0.1	0.1	0.1	78900
03/10/1986 16:00:00	0.1	0.1	0.1	0.1	51100
06/10/1986 16:00:00	0.11	0.11	0.1	0.11	296300
07/10/1986 16:00:00	0.11	0.11	0.11	0.11	207600
08/10/1986 16:00:00	0.11	0.11	0.11	0.11	415300
09/10/1986 16:00:00	0.11	0.12	0.11	0.11	321400
10/10/1986 16:00:00	0.12	0.12	0.11	0.12	266500
13/10/1986 16:00:00	0.12	0.12	0.12	0.12	94200
14/10/1986 16:00:00	0.12	0.12	0.12	0.12	44700
15/10/1986 16:00:00	0.12	0.12	0.12	0.12	220600
16/10/1986 16:00:00	0.12	0.12	0.12	0.12	75900
17/10/1986 16:00:00	0.13	0.13	0.12	0.13	432100
20/10/1986 16:00:00	0.13	0.13	0.12	0.13	151200
21/10/1986 16:00:00	0.13	0.13	0.13	0.13	390200
22/10/1986 16:00:00	0.13	0.13	0.13	0.13	189500
23/10/1986 16:00:00	0.13	0.13	0.13	0.13	244600
24/10/1986 16:00:00	0.13	0.13	0.13	0.13	352000
27/10/1986 16:00:00	0.13	0.13	0.13	0.13	436300
28/10/1986 16:00:00	0.14	0.14	0.13	0.14	495300
29/10/1986 16:00:00	0.13	0.14	0.13	0.13	184800
30/10/1986 16:00:00	0.14	0.14	0.13	0.14	154100
31/10/1986 16:00:00	0.13	0.14	0.13	0.13	221300
03/11/1986 16:00:00	0.14	0.14	0.14	0.14	146500
04/11/1986 16:00:00	0.14	0.14	0.14	0.14	188900
05/11/1986 16:00:00	0.15	0.15	0.14	0.15	156600
06/11/1986 16:00:00	0.15	0.16	0.15	0.15	252000
