SPY		01/01/1970	31/12/2022		52
Date	Open	High	Low	Close	Volume
29/01/1993 16:00:00	43.86	43.97	43.75	43.94	1003200
01/02/1993 16:00:00	43.97	44.25	43.97	44.25	480500
02/02/1993 16:00:00	44.22	44.38	44.13	44.34	201300
03/02/1993 16:00:00	44.41	44.84	44.38	44.81	529400
04/02/1993 16:00:00	44.97	45.09	44.88	45	531500
05/02/1993 16:00:00	44.97	45.06	44.72	44.97	492100
08/02/1993 16:00:00	44.97	45.13	44.91	44.97	596100
09/02/1993 16:00:00	44.81	44.81	44.56	44.66	122100
10/02/1993 16:00:00	44.66	44.75	44.53	44.72	379600
11/02/1993 16:00:00	44.78	45.13	44.78	44.94	19500
12/02/1993 16:00:00	44.88	44.88	44.59	44.59	42500
16/02/1993 16:00:00	44.47	44.47	43.41	43.47	374800
17/02/1993 16:00:00	43.47	43.53	43.28	43.44	210900
18/02/1993 16:00:00	43.94	43.94	42.81	43.41	378100
19/02/1993 16:00:00	43.41	43.56	43.34	43.56	34900
22/02/1993 16:00:00	43.69	43.78	43.56	43.72	513600
23/02/1993 16:00:00	43.84	43.88	43.47	43.69	373700
24/02/1993 16:00:00	43.72	44.25	43.72	44.25	26300
25/02/1993 16:00:00	44.22	44.38	44.13	44.34	44500
26/02/1993 16:00:00	44.44	44.44	44.19	44.41	66200
01/03/1993 16:00:00	44.56	44.56	44.22	44.28	66500
02/03/1993 16:00:00	44.31	44.94	44.25	44.94	182400
03/03/1993 16:00:00	45	45.16	44.94	45.13	280100
04/03/1993 16:00:00	45.19	45.19	44.88	44.88	89500
05/03/1993 16:00:00	44.94	45.13	44.72	44.75	40000
08/03/1993 16:00:00	44.84	45.75	44.84	45.75	50800
09/03/1993 16:00:00	45.66	45.69	45.5	45.59	169300
10/03/1993 16:00:00	45.59	45.69	45.41	45.69	194400
11/03/1993 16:00:00	45.72	45.84	45.5	45.56	70900
12/03/1993 16:00:00	45.19	45.22	44.81	45.09	643600
15/03/1993 16:00:00	45.06	45.31	45.06	45.31	310800
16/03/1993 16:00:00	45.31	45.44	45.31	45.31	30800
17/03/1993 16:00:00	45.25	45.25	44.97	45.03	21800
18/03/1993 16:00:00	45.22	45.5	45.22	45.31	59300
19/03/1993 16:00:00	45.28	45.28	45.03	45.03	66900
